Percentage,Average Accuracy
1,0.888921539817808
5,0.9122832794593008
10,0.910960916838084
15,0.9153687922421393
20,0.9188950925653837
30,0.9144872171613282
40,0.9180135174845726
50,0.9169850132236266
60,0.9181604466647075
70,0.9200705260064647
80,0.9212459594475463
90,0.9213928886276812
100,0.9209521010872757
