Percentage,Average Accuracy
1,0.0
2,0.07640317367029092
3,0.14413752571260652
4,0.15618571848369084
5,0.22862180429033202
6,0.28122245077872465
7,0.3053188363208933
8,0.3042903320599471
9,0.3003232441962974
10,0.318542462533059
11,0.308404349103732
12,0.3253012048192771
13,0.32838671760211574
14,0.3388186893917132
15,0.35498089920658243
16,0.34660593593887745
17,0.34337349397590355
18,0.3464590067587423
19,0.34763444019982365
20,0.35042609462239194
21,0.35439318248604174
22,0.3508668821627975
23,0.3471936526594181
24,0.35571554510725834
25,0.36232735821334117
26,0.3595357037907728
27,0.3633558624742874
28,0.3684983837790185
29,0.3651190126359095
30,0.35542168674698793
31,0.34072876873347047
32,0.34543050249779605
33,0.34572436085806635
34,0.3521892447840141
35,0.3438142815163091
36,0.3468997942991478
37,0.34528357331766096
38,0.341169556273876
39,0.34543050249779605
40,0.34307963561563326
41,0.34528357331766096
42,0.3392594769321188
43,0.32838671760211574
44,0.3326476638260358
45,0.32471348809873646
46,0.32368498383779015
47,0.32838671760211574
48,0.3276520717014399
49,0.3275051425213048
50,0.326917425800764
51,0.3232441962973846
52,0.32735821334116955
53,0.3205994710549515
54,0.3132530120481928
55,0.3062004114017044
56,0.30546576550102855
57,0.3038495445195416
58,0.3038495445195416
59,0.3026741110784602
60,0.296650014692918
61,0.2997355274757566
62,0.29811930649426976
63,0.3006171025565677
64,0.2970908022333235
65,0.2959153687922421
66,0.29753158977372907
67,0.2990008815750808
68,0.29841316485454017
69,0.2972377314134587
70,0.29870702321481046
71,0.296650014692918
72,0.29620922715251247
73,0.29650308551278287
74,0.29650308551278287
75,0.2976785189538642
76,0.3026741110784602
77,0.2976785189538642
78,0.2973846605935938
79,0.3013517484572436
80,0.30443726124008225
81,0.3003232441962974
82,0.3013517484572436
83,0.3014986776373788
84,0.30002938583602706
85,0.2992947399353511
86,0.2979723773141346
87,0.2995885982956215
88,0.2969438730531884
89,0.2959153687922421
90,0.29914781075521596
91,0.29841316485454017
92,0.29547458125183657
93,0.29635615633264767
94,0.2928298560094035
95,0.2915074933881869
96,0.29385836027034967
97,0.2959153687922421
98,0.2937114310902146
99,0.29224213928886283
100,0.2940052894504849
